feature,importance
cat__housing_status_BA,0.15449552203565683
cat__device_os_windows,0.08812445177074141
cat__source_device_os_INTERNET_windows,0.07517244879804949
num__current_address_months_count,0.04899609528827811
num__prev_address_months_count_unknown_flag,0.04566347479383133
num__keep_alive_session,0.040433479195372185
num__credit_risk_score,0.03201506444332247
num__log_proposed_credit_limit,0.030353478351975046
cat__credit_risk_band_very_high,0.028782931601820456
num__proposed_credit_limit,0.02712488350427392
num__has_other_cards,0.026245765911044903
num__name_email_mismatch_score,0.025661985846001937
num__name_email_similarity,0.024659499984999854
num__income,0.02445079966055793
cat__housing_status_BE,0.019832578574639378
num__customer_age,0.01894274053957845
num__phone_home_valid,0.017898762362180264
cat__source_device_os_INTERNET_other,0.017869071647355912
cat__device_os_linux,0.016734620101693572
num__prev_address_months_count,0.014982227985070838
cat__source_device_os_INTERNET_linux,0.014455692824239292
num__bank_branch_count_8w,0.014370267891252873
num__date_of_birth_distinct_emails_4w,0.012082360974872695
num__total_known_address_months,0.01175980014172269
num__low_name_email_similarity_flag,0.011609064661964614
num__intended_balcon_amount,0.011329482064617605
num__device_distinct_emails_8w,0.009894963965432206
num__multiple_emails_per_device_flag,0.00949126249576963
cat__device_os_other,0.008732813928326493
num__log_abs_intended_balcon_amount,0.008719710400424038
cat__customer_age_group_<20,0.008194260531290009
num__email_is_free,0.007333314293263781
num__multiple_emails_same_dob_flag,0.006449136503071851
num__intended_balcon_negative_flag,0.0061140632930819
num__bank_months_count,0.005679908748096894
cat__housing_status_BB,0.005333249528211411
cat__payment_type_AC,0.0051439820172843
cat__housing_status_BC,0.004892997316073384
num__velocity_4w,0.004759257897959106
num__zip_count_4w,0.004350600904642829
num__bank_months_count_unknown_flag,0.004244512696877556
num__days_since_request,0.003920056486568116
num__log_session_length,0.003681481241128945
num__session_length_in_minutes,0.0036187846305375006
num__velocity_24h,0.0035518869364494403
cat__payment_type_AA,0.0035359011060957023
num__velocity_6h_to_24h_ratio,0.0034087282814026375
num__velocity_6h,0.0033352899980942452
num__velocity_24h_to_4w_ratio,0.0031733057354627597
num__month,0.0018925463343107565
cat__source_device_os_INTERNET_macintosh,0.0016395683728631328
cat__device_os_macintosh,0.0015739850786781206
cat__customer_age_group_50-59,0.0013752008204024361
cat__employment_status_CA,0.0012804197989950785
cat__credit_risk_band_very_low,0.0011567583344478433
cat__customer_age_group_40-49,0.00107089266063425
cat__employment_status_CF,0.0009213007572388331
cat__employment_status_CB,0.0009089187331450665
num__short_current_address_flag,0.000740135818861321
cat__customer_age_group_20-29,0.0007321007989632205
cat__credit_risk_band_medium,0.0005807544239970589
cat__employment_status_CC,0.0005376962094401354
cat__customer_age_group_30-39,0.0004629292247368862
cat__payment_type_AB,0.00045930812749515865
num__foreign_request,0.0004460283490069609
cat__credit_risk_band_high,0.0003819991718342087
cat__customer_age_group_60-69,0.00030111734118982736
num__phone_mobile_valid,0.0002989980334168081
cat__payment_type_AD,0.00026806463814871577
cat__credit_risk_band_low,0.00021900172287102286
cat__employment_status_CE,0.00018079982657861416
num__very_short_session_flag,0.00013592909902185044
cat__housing_status_BD,0.0001339491590138171
cat__employment_status_CD,0.00011684761659001758
cat__customer_age_group_70+,0.0001072762509145986
cat__source_device_os_INTERNET_x11,0.00010507440024282917
cat__device_os_x11,9.231060328052291e-05
cat__source_TELEAPP,8.414070296831498e-05
cat__source_INTERNET,7.200004643539462e-05
cat__source_device_os_TELEAPP_linux,3.429434907265293e-05
num__current_address_months_count_unknown_flag,2.7271814288815477e-05
cat__source_device_os_TELEAPP_windows,1.782444958917072e-05
cat__housing_status_BF,1.6669506542660033e-05
cat__source_device_os_TELEAPP_other,1.2328734660876082e-05
num__session_length_in_minutes_unknown_flag,7.180335328753759e-06
cat__employment_status_CG,2.35846413548289e-06
cat__housing_status_BG,0.0
num__device_fraud_count,0.0
cat__payment_type_AE,0.0
num__device_distinct_emails_8w_unknown_flag,0.0
cat__source_device_os_TELEAPP_macintosh,0.0
cat__source_device_os_TELEAPP_x11,0.0
