feature,coefficient,absolute_coefficient,odds_ratio,direction
numeric__multiple_emails_per_device_flag,1.61516320590599,1.61516320590599,5.028708571437991,Increases predicted fraud risk
numeric__prev_address_months_count_unknown_flag,1.502474309538885,1.502474309538885,4.492791886592724,Increases predicted fraud risk
numeric__has_other_cards,-1.180328056837336,1.180328056837336,0.3071779502430241,Decreases predicted fraud risk
numeric__phone_home_valid,-0.9909751057850401,0.9909751057850401,0.37121454103701207,Decreases predicted fraud risk
categorical__housing_status_BA,0.9523240077515274,0.9523240077515274,2.5917258567442287,Increases predicted fraud risk
numeric__intended_balcon_negative_flag,0.8158887931019873,0.8158887931019873,2.2611845046893864,Increases predicted fraud risk
numeric__keep_alive_session,-0.6774250023910424,0.6774250023910424,0.5079232109426923,Decreases predicted fraud risk
numeric__log_proposed_credit_limit,-0.6416514548702817,0.6416514548702817,0.5264223430487956,Decreases predicted fraud risk
numeric__session_length_in_minutes_unknown_flag,-0.6267833669076346,0.6267833669076346,0.5343077116667396,Decreases predicted fraud risk
numeric__credit_risk_score,0.6251445820289899,0.6251445820289899,1.8685160917512136,Increases predicted fraud risk
numeric__velocity_24h,-0.6194323702689505,0.6194323702689505,0.5382498775312994,Decreases predicted fraud risk
numeric__velocity_24h_to_4w_ratio,0.5950493124167042,0.5950493124167042,1.8131203521020351,Increases predicted fraud risk
numeric__foreign_request,0.5816559617785291,0.5816559617785291,1.7889984923243685,Increases predicted fraud risk
numeric__email_is_free,0.5683404238027131,0.5683404238027131,1.7653349112527281,Increases predicted fraud risk
numeric__multiple_emails_same_dob_flag,-0.550812794100505,0.550812794100505,0.5764810595031019,Decreases predicted fraud risk
categorical__housing_status_BE,-0.5428547790312998,0.5428547790312998,0.5810870072546814,Decreases predicted fraud risk
categorical__employment_status_CF,-0.5319415992065862,0.5319415992065862,0.5874632434822472,Decreases predicted fraud risk
numeric__velocity_4w,0.5060071204143406,0.5060071204143406,1.6586551450201388,Increases predicted fraud risk
numeric__income,0.5010280117337194,0.5010280117337194,1.650417047001666,Increases predicted fraud risk
categorical__employment_status_CE,-0.48967408659699113,0.48967408659699113,0.6128260898773016,Decreases predicted fraud risk
categorical__employment_status_CA,0.4875201023429811,0.4875201023429811,1.6282732579240138,Increases predicted fraud risk
numeric__device_distinct_emails_8w,-0.4857990328581453,0.4857990328581453,0.6152054309680814,Decreases predicted fraud risk
numeric__customer_age,0.48475797801076737,0.48475797801076737,1.6237819703416256,Increases predicted fraud risk
numeric__device_distinct_emails_8w_unknown_flag,-0.44644557299145504,0.44644557299145504,0.6398985870033467,Decreases predicted fraud risk
categorical__credit_risk_band_very_low,0.43116976336049323,0.43116976336049323,1.5390568032355276,Increases predicted fraud risk
categorical__device_os_linux,-0.41878284546171485,0.41878284546171485,0.6578470342271714,Decreases predicted fraud risk
categorical__employment_status_CC,0.41557132962237375,0.41557132962237375,1.515236192761122,Increases predicted fraud risk
numeric__low_name_email_similarity_flag,0.3921241115090199,0.3921241115090199,1.4801214001036112,Increases predicted fraud risk
categorical__credit_risk_band_very_high,-0.3813080813120711,0.3813080813120711,0.6829674476975639,Decreases predicted fraud risk
numeric__proposed_credit_limit,0.36617539508562724,0.36617539508562724,1.442208176698818,Increases predicted fraud risk
categorical__device_os_windows,0.3569672246477726,0.3569672246477726,1.4289890334674407,Increases predicted fraud risk
categorical__device_os_other,-0.3406896716474583,0.3406896716474583,0.7112796041882926,Decreases predicted fraud risk
numeric__bank_months_count,0.30648844614769494,0.30648844614769494,1.3586457697940064,Increases predicted fraud risk
categorical__source_device_os_INTERNET_linux,-0.2840715113035551,0.2840715113035551,0.7527128153068887,Decreases predicted fraud risk
numeric__phone_mobile_valid,-0.2726753948880631,0.2726753948880631,0.7613398823403905,Decreases predicted fraud risk
categorical__housing_status_BG,-0.27052830061859334,0.27052830061859334,0.7629763069892137,Decreases predicted fraud risk
categorical__housing_status_BB,-0.25662515102939787,0.25662515102939787,0.7736581643847259,Decreases predicted fraud risk
categorical__source_device_os_INTERNET_windows,0.2550544992319893,0.2550544992319893,1.2905319519566167,Increases predicted fraud risk
categorical__housing_status_BF,-0.2545678852864062,0.2545678852864062,0.7752514231394937,Decreases predicted fraud risk
categorical__housing_status_BD,0.25095987050188806,0.25095987050188806,1.2852585065174957,Increases predicted fraud risk
categorical__payment_type_AC,0.24195006178255962,0.24195006178255962,1.2737305833931036,Increases predicted fraud risk
numeric__log_session_length,-0.23324961096471475,0.23324961096471475,0.7919558679823864,Decreases predicted fraud risk
