column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent
proposed_credit_limit,200.0,500.0,300.0,-250.0,950.0,241742,24.174
has_other_cards,0.0,0.0,0.0,0.0,0.0,222988,22.299
intended_balcon_amount,-1.1814879271805365,4.984175831301604,6.1656637584821405,-10.429983564903747,14.232671469024815,222702,22.27
bank_branch_count_8w,1.0,25.0,24.0,-35.0,61.0,175243,17.524
prev_address_months_count,-1.0,12.0,13.0,-20.5,31.5,157320,15.732
phone_mobile_valid,1.0,1.0,0.0,1.0,1.0,110324,11.032
days_since_request,0.00719324625376785,0.026330687534930702,0.01913744128116285,-0.021512915667976428,0.05503684945667498,94834,9.483
session_length_in_minutes,3.103052964293375,8.866131094405466,5.763078130112091,-5.541564230874761,17.510748289573602,78789,7.879
zip_count_4w,894.0,1944.0,1050.0,-681.0,3519.0,59871,5.987
current_address_months_count,19.0,130.0,111.0,-147.5,296.5,41001,4.1
device_distinct_emails_8w,1.0,1.0,0.0,1.0,1.0,31933,3.193
foreign_request,0.0,0.0,0.0,0.0,0.0,25242,2.524
date_of_birth_distinct_emails_4w,6.0,13.0,7.0,-4.5,23.5,9734,0.973
velocity_6h,3436.365847992701,7680.717827395818,4244.351979403116,-2930.162121111973,14047.245796500492,9005,0.901
credit_risk_score,83.0,178.0,95.0,-59.5,320.5,8729,0.873
velocity_24h,3593.1791345693373,5752.574190678951,2159.3950561096135,354.08655040491703,8991.666774843372,2917,0.292
customer_age,20.0,40.0,20.0,-10.0,70.0,1373,0.137
keep_alive_session,0.0,1.0,1.0,-1.5,2.5,0,0.0
device_fraud_count,0.0,0.0,0.0,0.0,0.0,0,0.0
income,0.3,0.8,0.5,-0.45,1.55,0,0.0
bank_months_count,-1.0,25.0,26.0,-40.0,64.0,0,0.0
phone_home_valid,0.0,1.0,1.0,-1.5,2.5,0,0.0
email_is_free,0.0,1.0,1.0,-1.5,2.5,0,0.0
name_email_similarity,0.22521632107252676,0.7555673081839434,0.5303509871114166,-0.5703101595945982,1.5510937888510683,0,0.0
velocity_4w,4268.368422847567,5488.083356427494,1219.7149335799277,2438.7960224776753,7317.655756797386,0,0.0
month,1.0,5.0,4.0,-5.0,11.0,0,0.0
