source_device_os,total_applications,fraud_count,fraud_rate,fraud_rate_percent
TELEAPP_windows,501,29,0.05788423153692615,5.788423153692615
TELEAPP_macintosh,227,10,0.04405286343612335,4.405286343612335
INTERNET_windows,263005,6478,0.024630710442767247,2.4630710442767247
INTERNET_macintosh,53599,742,0.0138435418571242,1.38435418571242
TELEAPP_other,5416,64,0.011816838995568686,1.1816838995568686
INTERNET_x11,7200,81,0.01125,1.125
TELEAPP_linux,876,9,0.010273972602739725,1.0273972602739725
INTERNET_other,337312,1910,0.005662413433260602,0.5662413433260601
INTERNET_linux,331836,1706,0.005141093793319592,0.5141093793319592
TELEAPP_x11,28,0,0.0,0.0
