feature,mutual_information_score
cat__housing_status_BA,0.02946359289212319
cat__source_device_os_INTERNET_windows,0.02152564845394256
cat__device_os_windows,0.021419154727800427
cat__employment_status_CA,0.020323234214702834
num__keep_alive_session,0.01996785573221782
cat__source_INTERNET,0.019593904725233813
num__proposed_credit_limit,0.0168812392383062
num__log_proposed_credit_limit,0.016243753364201474
num__email_is_free,0.015829034920184837
num__credit_risk_score,0.01576319357368572
num__phone_home_valid,0.014718871347443985
num__prev_address_months_count_unknown_flag,0.014440890881914692
num__customer_age,0.01415758444923565
cat__device_os_linux,0.013116307320123477
cat__source_device_os_INTERNET_linux,0.012970404834151461
num__income,0.012695925037578215
num__current_address_months_count,0.012534944404381188
cat__housing_status_BC,0.012389193838210577
cat__device_os_other,0.012116305570372576
cat__source_device_os_INTERNET_other,0.011860272292393947
cat__credit_risk_band_very_high,0.011452992599936263
num__date_of_birth_distinct_emails_4w,0.010297239434454264
num__bank_months_count,0.010088240868948661
num__prev_address_months_count,0.009398267212532119
num__intended_balcon_negative_flag,0.009155241164871653
cat__customer_age_group_<20,0.008778381156611115
num__low_name_email_similarity_flag,0.008409178762635472
cat__payment_type_AA,0.007991957566610308
cat__customer_age_group_20-29,0.007672649878059934
num__has_other_cards,0.0075623251837071415
