feature,importance
cat__housing_status_BA,0.15449552203565683
cat__device_os_windows,0.08812445177074141
cat__source_device_os_INTERNET_windows,0.07517244879804949
num__current_address_months_count,0.04899609528827811
num__prev_address_months_count_unknown_flag,0.04566347479383133
num__keep_alive_session,0.040433479195372185
num__credit_risk_score,0.03201506444332247
num__log_proposed_credit_limit,0.030353478351975046
cat__credit_risk_band_very_high,0.028782931601820456
num__proposed_credit_limit,0.02712488350427392
num__has_other_cards,0.026245765911044903
num__name_email_mismatch_score,0.025661985846001937
num__name_email_similarity,0.024659499984999854
num__income,0.02445079966055793
cat__housing_status_BE,0.019832578574639378
num__customer_age,0.01894274053957845
num__phone_home_valid,0.017898762362180264
cat__source_device_os_INTERNET_other,0.017869071647355912
cat__device_os_linux,0.016734620101693572
num__prev_address_months_count,0.014982227985070838
cat__source_device_os_INTERNET_linux,0.014455692824239292
num__bank_branch_count_8w,0.014370267891252873
num__date_of_birth_distinct_emails_4w,0.012082360974872695
num__total_known_address_months,0.01175980014172269
num__low_name_email_similarity_flag,0.011609064661964614
num__intended_balcon_amount,0.011329482064617605
num__device_distinct_emails_8w,0.009894963965432206
num__multiple_emails_per_device_flag,0.00949126249576963
cat__device_os_other,0.008732813928326493
num__log_abs_intended_balcon_amount,0.008719710400424038
