metric,base_value,variant_ii_value,absolute_change,relative_change_percent
PR-AUC,0.19842562736397,0.201198591827657,0.002772964463687022,1.3974830270288643
ROC-AUC,0.8906419707745803,0.8896264922218075,-0.0010154785527728416,-0.11401647194884523
Recall,0.626750700280112,0.719187675070028,0.09243697478991597,14.748603351955309
Precision,0.1138387178834902,0.08158563711471242,-0.03225308076877778,-28.332259330070492
F1-score,0.19268030139935413,0.14654680365296804,-0.04613349774638609,-23.94302760133669
False Positive Rate,0.07301786930776083,0.12116670509568826,0.04814883578792743,65.94116788725557
False Negative Rate,0.37324929971988796,0.280812324929972,-0.09243697478991597,-24.76547842401501
Recall at Top 10%,0.6701680672268907,0.6645658263305322,-0.0056022408963585235,-0.8359456635318676
Precision at Top 10%,0.09881259679917398,0.09798657718120805,-0.0008260196179659257,-0.8359456635318695
Lift at Top 10%,6.701196296794402,6.645109318895344,-0.056086977899058255,-0.8369696307193409
Estimated Net Benefit,6419500.0,6337500.0,-82000.0,-1.2773580496923436
